vehicle_make_model,prices
Hero Achiever 150,67612.0
Hero Achiever 150,63997.0
Hero Ambition,
Hero CBZ,
Hero CBZ,
Hero CD Dawn,
Hero CD Deluxe,
Hero CD Deluxe,
Hero HF Dawn,40274.0
Hero Destini 125,61173.0
Hero Destini 125,58048.0
Hero Destini 125,72660.0
Hero Destini 125,77217.0
Hero Destini 125,78331.0
Hero Destini 125,78911.0
Hero Destini 125 Xtec,73689.0
Hero Destini 125 Xtec,78546.0
Hero Destini 125 Xtec,84498.0
Hero Duet,49972.0
Hero Duet,53946.0
Hero Glamour,79476.0
Hero Glamour,83464.0
Hero Glamour,81476.0
Hero Glamour,85473.0
Hero Glamour,81329.0
Hero Glamour,85366.0
Hero Glamour 125,60633.0
Hero Glamour 125,61911.0
Hero Glamour FI,68964.0
Hero Glamour FI,70894.0
Hero Glamour Xtec,86545.0
Hero Glamour Xtec,91155.0
Hero HF Dawn,38865.0
Hero HF Deluxe,65526.0
Hero HF Deluxe,60164.0
Hero HF Deluxe,67178.0
Hero HF Deluxe,55021.0
Hero HF Deluxe,66725.0
Hero HF Deluxe Eco,48596.0
Hero Hunk,71890.0
Hero Hunk,74968.0
Hero Ignitor,64252.0
Hero Ignitor,62147.0
Hero Impulse,72651.0
Hero Karizma,79656.0
Hero Karizma 2014,85312.0
Hero Karizma ZMR,108003.0
Hero Karizma ZMR,110506.0
Hero Karizma ZMR,99389.0
Hero Karizma ZMR,107423.0
Hero Maestro Edge 125,87827.0
Hero Maestro Edge 125,82804.0
Hero Maestro Edge 125,87821.0
Hero Maestro Edge 125,92433.0
Hero Maestro,50481.0
Hero Maestro,49968.0
Hero Maestro Edge 110,70900.0
Hero Maestro Edge 110,76141.0
Hero Optima,
Hero Passion Pro,73490.0
Hero Passion Pro,76320.0
Hero Passion PRO i3s,57334.0
Hero Passion PRO i3s,49090.0
Hero Passion PRO i3s,54551.0
Hero Passion PRO i3s,56698.0
Hero Passion PRO i3s,50127.0
Hero Passion PRO i3s,52827.0
Hero Passion PRO TR,55144.0
Hero Passion XPro,56662.0
Hero Passion XPro,58720.0
Hero Passion XPro,59082.0
Hero Passion XPro,61839.0
Hero Passion X Pro,51001.0
Hero Passion X Pro,51944.0
Hero Passion X Pro,52978.0
Hero Passion X Pro,54460.0
Hero Passion X Pro,56433.0
Hero Passion Xtec,77691.0
Hero Passion Xtec,81463.0
Hero Pleasure +,68964.0
Hero Pleasure +,72424.0
Hero Pleasure,47117.0
Hero Pleasure,50219.0
Hero Pleasure,48297.0
Hero Pleasure + Xtec,77318.0
Hero Pleasure + Xtec,78935.0
Hero Splendor iSmart,52434.0
Hero Splendor iSmart 110,71882.0
Hero Splendor iSmart 110,74579.0
Hero Splendor iSmart,51277.0
Hero Splendor iSmart 110,56696.0
Hero Splendor NXG,43495.0
Hero Splendor NXG,45030.0
Hero Splendor NXG,46273.0
Hero Splendor NXG,47271.0
Hero Splendor Plus,71627.0
Hero Splendor Plus,72802.0
Hero Splendor Plus,72673.0
Hero Splendor Plus,73981.0
Hero Splendor Plus i3s,53283.0
Hero Splendor Plus i3s,56116.0
Hero Splendor Plus i3s,56903.0
Hero Splendor Plus Xtec,76382.0
Hero Splendor PRO,50836.0
Hero Splendor PRO,48071.0
Hero Splendor PRO,49937.0
Hero Splendor PRO,49575.0
Hero Splendor PRO,51745.0
Hero Splendor Pro Classic,51863.0
Hero Street Smart,
Hero Street Smart,
Hero Super Splendor,80140.0
Hero Super Splendor,84222.0
Hero Super Splendor,79501.0
Hero Super Splendor,83521.0
Hero Super Splendor 2018,59211.0
Hero Super Splendor 2018,60789.0
Hero Super Splendor Xtec,83435.0
Hero Super Splendor Xtec,87506.0
Hero Winner,
Hero Xoom,72656.0
Hero Xoom,75849.0
Hero Xoom,80780.0
Hero Xpulse 200,106865.0
Hero Xpulse 200,98844.0
Hero Xpulse 200,127116.0
