vehicle_make_model,prices
Joy e-bike Mihos,Rs.1.10 Lakh*
Joy e-bike Gen Next Nanu,"Rs.58,000 - 88,250*"
Joy e-bike Wolf,"Rs.63,000 - 91,350*"
Joy e-bike Beast,Rs.2.42 Lakh*
Joy e-bike Glob,"Rs.58,000*"
Joy e-bike Wolf Plus,"Rs.87,000*"
Joy e-bike Thunderbolt,Rs.2.33 Lakh*
Joy e-bike Monster,Rs.1.10 Lakh*
Joy e-bike Gen Next Nanu Plus,"Rs.83,000*"
Joy e-bike Hurricane,Rs.2.33 Lakh*
Kawasaki Ninja ZX-10R,Rs.16.79 Lakh*
Kawasaki Z900,Rs.9.38 Lakh*
Kawasaki Ninja H2,Rs.79.90 Lakh*
Kawasaki Ninja 300,Rs.3.43 Lakh*
Kawasaki Ninja 400,Rs.5.24 Lakh*
Kawasaki Ninja ZX-6R,Rs.11.20 Lakh*
Kawasaki Ninja ZX4R,Rs.8.49 Lakh*
Kawasaki Ninja 500,Rs.5.24 Lakh*
Kawasaki W175,Rs.1.22 - 1.35 Lakh*
Kawasaki Z650,Rs.6.65 Lakh*
Kawasaki Z H2,Rs.23.48 - 27.76 Lakh*
Kawasaki Ninja 650,Rs.7.16 Lakh*
Kawasaki Vulcan S,Rs.7.10 Lakh*
Kawasaki Eliminator,Rs.5.62 Lakh*
Kawasaki Versys 650,Rs.7.77 Lakh*
Kawasaki Z900RS,Rs.16.80 Lakh*
Kawasaki KLX110R L,Rs.3.12 Lakh*
Kawasaki KLX 140R F,Rs.4.11 Lakh*
Kawasaki KX 250,Rs.7.99 Lakh*
Kawasaki Z650RS,Rs.6.99 Lakh*
Kawasaki W800 Street,Rs.7.33 Lakh*
Kawasaki KX65,Rs.3.12 Lakh*
Kawasaki KLX230RS,Rs.5.21 Lakh*
Kawasaki KLX 300R,Rs.5.60 Lakh*
Kawasaki KX 85,Rs.4.20 Lakh*
Kawasaki KX112,Rs.4.88 Lakh*
Kawasaki KLX 450R,Rs.8.99 Lakh*
Kawasaki KX 450,Rs.8.59 Lakh*
Kawasaki Ninja H2 SX,Rs.31.95 - 32.95 Lakh*
Keeway V302C,Rs.3.89 - 4.09 Lakh*
Keeway SR125,Rs.1.19 Lakh*
Keeway SR 250,Rs.1.49 Lakh*
Keeway K-Light 250V,Rs.2.89 - 3.09 Lakh*
Keeway K300 R,Rs.2.65 Lakh*
Keeway Vieste 300,Rs.3.10 - 3.25 Lakh*
Keeway Sixties 300i,Rs.2.99 - 3.20 Lakh*
Keeway K300 N,Rs.2.29 Lakh*
KTM Duke 390,Rs.3.11 Lakh*
KTM Duke 200,Rs.1.97 Lakh*
KTM 125 Duke,Rs.1.79 Lakh*
KTM 250 Duke,Rs.2.40 Lakh*
KTM RC 390,Rs.3.18 - 3.19 Lakh*
KTM RC 200,Rs.2.18 - 2.18 Lakh*
KTM RC 125,Rs.1.90 Lakh*
KTM 390 Adventure,Rs.3.39 - 3.61 Lakh*
KTM 250 Adventure,Rs.2.47 Lakh*
KTM 390 Adventure X,Rs.2.81 Lakh*
Maruthisan Dream+,Rs.1.63 Lakh*
Maruthisan MS 3.0,Rs.1.49 - 1.58 Lakh*
Maruthisan Racer,Rs.1.93 Lakh*
Maruthisan Beat,Rs.1.70 Lakh*
MX Moto M16,Rs.1.98 Lakh*
MX Moto MXV,"Rs.84,999 - 94,999*"
MX Moto MX9,Rs.1.46 Lakh*
MX Moto MG Pro,"Rs.65,385 - 89,000*"
Odysse Electric Evoqis,Rs.1.71 Lakh*
Odysse Electric Hawk,"Rs.99,400 - 1.18 Lakh*"
Odysse Electric V2,"Rs.77,250 - 1 Lakh*"
Odysse Electric E2Go,"Rs.71,100 - 94,100*"
Odysse Electric VADER,Rs.1.62 Lakh*
Odysse Electric Trot,"Rs.99,999*"
Okinawa PraisePro,"Rs.84,443*"
Okinawa Dual 100,Rs.1.19 Lakh*
Okinawa iPraise+,Rs.1.23 Lakh*
Okinawa Okhi90,Rs.1.86 Lakh*
Okinawa Ridge,"Rs.84,606 - 1.15 Lakh*"
Okinawa Lite,"Rs.69,093*"
Okinawa R30,"Rs.61,998*"
Ola S1 Pro,Rs.1.30 Lakh*
Ola S1 X,"Rs.69,999 - 99,999*"
Ola S1 Air,Rs.1.05 Lakh*
QJ Motor SRK 400,Rs.3.59 - 3.69 Lakh*
QJ Motor SRV 300,Rs.3.19 Lakh*
QJ Motor SRC 250,Rs.1.79 Lakh*
QJ Motor SRC 500,Rs.2.39 Lakh*
Revamp Moto RM Buddie 25,"Rs.69,999*"
Seeka Vatsal250,"Rs.72,910*"
Seeka SFlash250,"Rs.71,911*"
Seeka SSeagun,Rs.1.52 Lakh*
Seeka SBolt,Rs.1.69 Lakh*
Seeka Smak,"Rs.99,911 - 1.19 Lakh*"
Srivaru Motors Prana,Rs.2.25 - 3 Lakh*
SVITCH XE,"Rs.74,999 - 88,999*"
SVITCH MXE,"Rs.59,999*"
SVITCH CSR 762,Rs.1.90 Lakh*
SVITCH XE+,Rs.1.10 Lakh*
Tunwal Storm ZX Advance 2,Rs.1.35 Lakh*
Tunwal Sport 63 Mini,"Rs.49,990*"
Tunwal Roma S,"Rs.95,000*"
Tunwal Mini Lithino,"Rs.54,990*"
Tunwal Storm ZX,"Rs.90,000*"
Tunwal Lithino 2.0,"Rs.71,990*"
